input_len,target_hit_rate,measured_hit_rate,num_prompts,concurrency,success,fail,duration_s,sum_prompt_tokens,sum_cached_tokens,nominal_input_throughput,real_prefill_throughput,output_throughput,req_throughput,lat_mean_ms,lat_p50_ms,lat_p90_ms,lat_p99_ms
131072,0.85,0.0,300,200,0,300,2.6188569758087397,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131072,0.85,0.0,300,200,0,300,2.5606806189753115,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131072,0.85,0.849609375,300,200,300,0,196.35538437217474,39321600,33408000,200257.30450797972,30116.82118577039,1.5278419838560464,1.5278419838560464,87547.28738659527,99091.06239280663,128514.8966780398,129535.76317592524
131072,0.9,0.0,300,200,0,300,2.4611573019064963,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131072,0.9,0.8984375,300,200,300,0,133.8262600679882,39321600,35328000,293825.7407778064,29841.67679774596,2.241712499830676,2.241712499830676,59469.218503777716,67274.1074601654,87355.75613309629,87406.25655208714
131072,0.95,0.0,300,200,0,300,2.6022954280488193,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131072,0.95,0.94921875,300,200,300,0,69.4787119620014,39321600,37324800,565951.7698241927,28739.738311384786,4.317869337647955,4.317869337647955,30947.29982412032,35131.75323908217,44416.33754898794,45124.76374511607
131072,0.98,0.0,300,200,0,300,2.2814928609877825,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131072,0.98,0.978515625,300,200,300,0,31.6835172441788,39321600,38476800,1241074.3320243128,26663.706352084842,9.468645721621039,9.468645721621039,14170.441594927883,16063.17002302967,19153.89383304864,20106.606201967224
131072,0.99,0.0,300,200,0,300,2.281319973990321,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131072,0.99,0.98828125,300,200,300,0,19.12573093106039,39321600,38860800,2055952.7968754023,24093.19683838362,15.685675024989337,15.685675024989337,8588.404253839204,9273.814842803404,10918.147198157385,11881.201914977282
262144,0.85,0.0,300,200,0,300,4.760767151834443,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262144,0.85,0.849609375,300,200,300,0,507.0010234990623,78643200,66816000,155114.4797642513,23327.763558295606,0.5917147818155338,0.5917147818155338,225451.68905790118,254318.73692711815,334975.50683189183,335484.66817312874
262144,0.9,0.8994140625,300,200,300,0,344.9970785479527,78643200,70732800,227953.2346505625,22928.889813484315,0.8695725809118747,0.8695725809118747,153420.9028933337,173118.22389787994,226869.41928509623,227182.1410781704
262144,0.95,0.94921875,300,200,300,0,180.10240478091873,78643200,74649600,436658.2450448879,22174.05150618571,1.665719013385345,1.665719013385345,80350.93455678162,91099.61375803687,116738.9945872128,117586.85250300914
262144,0.98,0.9794921875,300,200,300,0,79.8192583869677,78643200,77030400,985265.9820357374,20205.65002221727,3.7584914475850577,3.7584914475850577,35900.57160713399,40950.64096990973,48978.69804291986,51674.88167388365
262144,0.99,0.9892578125,300,200,300,0,45.68780757114291,78643200,77798400,1721317.0029562153,18490.70999269372,6.5663032644508945,6.5663032644508945,20363.554823939532,22918.659976916388,26667.972282040864,28672.50876594335
524288,0.85,0.849609375,150,100,150,0,774.309098884929,78643200,66816000,101565.64105116794,15274.520236210805,0.1937210865996703,0.1937210865996703,345708.6853871883,386335.1530940272,514341.466975864,515502.53189797513
524288,0.9,0.89990234375,150,100,150,0,527.3431617480237,78643200,70771200,149130.97524449832,14927.661096251053,0.28444476174258865,0.28444476174258865,235486.3855656764,263517.8345369641,349825.69450396113,350481.99050989933
524288,0.95,0.94970703125,150,100,150,0,273.6839244950097,78643200,74688000,287350.45416024775,14451.70741137965,0.5480774958805995,0.5480774958805995,122162.0493311435,136678.9549239911,180079.08314093947,180618.95756796002
524288,0.98,0.97998046875,150,100,150,0,116.66207712702453,78643200,77068800,674111.0902249011,13495.388036728977,1.285764866304209,1.285764866304209,52211.940173576586,58478.04823797196,74227.63548581861,76213.85378181003
524288,0.99,0.98974609375,150,100,150,0,66.04821184207685,78643200,77836800,1190693.8553921508,12209.26316564217,2.2710682971804634,2.2710682971804634,29721.82804130173,33584.28975217976,40390.52804210223,42549.284853972495
786432,0.85,0.8499348958333335,80,48,80,0,846.1491877159569,62914560,53473280,74353.98025947137,11157.937792843848,0.09454597506138022,0.09454597506138022,359205.203572943,434881.29074312747,506682.58780101314,507918.55888604186
786432,0.9,0.8997395833333335,80,48,80,0,579.0473146650475,62914560,56606720,108651.84658768897,10893.479410484442,0.1381579673610547,0.1381579673610547,245639.09864595917,296878.4172788728,346827.5243821554,346941.7633849662
786432,0.95,0.9498697916666665,80,48,80,0,300.58754167798907,62914560,59760640,209305.28141248977,10492.517362475073,0.2661454282283653,0.2661454282283653,127378.60814123997,154020.81053797156,179287.02965495177,179327.04973802902
786432,0.98,0.9798177083333335,80,48,80,0,127.824712238973,62914560,61644800,492194.0280403598,9933.603430502053,0.6258570709741716,0.6258570709741716,54161.067369100056,65494.501201901585,74840.98171093501,75368.5662180651
786432,0.99,0.9899088541666665,80,48,80,0,68.12457659700885,62914560,62279680,923522.2168377101,9319.397370432622,1.174319225104917,1.174319225104917,28954.15345543588,34981.817085063085,39238.189067924395,40469.30237300694
